Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0100639733943655,0.00251614189056792,0.286267050595588,0,0,0,6.23510579731547,0.0895538839253604,3.47297678088763E-05,-0.000219627058177473,0.0867358015015606,1.77462213560952E-05,0.117779970132644,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/base_link.STL,,0125_3.26-1/L02B00B86T2GA_83-1;0125_3.26-1/L02B00B86T2GA_85-1;0125_3.26-1/L02B00B86T2GA_48-1;0125_3.26-1/OUTPUT_TORSO-03-1;0125_3.26-1/LIMIT-01-1;0125_3.26-1/L02B00B86T2GA_30-1;0125_3.26-1/L02B00B86T2GA_29-1;0125_3.26-1/L02B00B86T2GA_27-1;0125_3.26-1/L02B00B86T2GA_28-1;0125_3.26-1/L02B00B86T2GA_26-1;0125_3.26-1/L02B00B86T2GA_74-1;0125_3.26-1/L02B00B86T2GA_73-1;0125_3.26-1/L02B00B86T2GA_71-1;0125_3.26-1/L02B00B86T2GA_81-1;0125_3.26-1/_X2_51F853F0_X0_-_X2_62C94F38_X-1;0125_3.26-1/L02B00B86T2GA_72-1;0125_3.26-1/L02B00B86T2GA_80-1;0125_3.26-1/L02B00B86T2GA_82-1;0125_3.26-1/L02B00B86T2GA_79-1;0125_3.26-1/_X2_501289D2_X0_1-136794-1;0125_3.26-1/L02B00B86T2GA_46-1;0125_3.26-1/L02B00B86T2GA_43-1;0125_3.26-1/L02B00B86T2GA_45-1;0125_3.26-1/L02B00B86T2GA_44-1;0125_3.26-1/L02B00B86T2GA_47-1;0125_3.26-1/_X2_4E0A8FDE6746_X0___-_X-14674-1;0125_3.26-1/_X2_501289D2_X0_1-136716-1;0125_3.26-1/_X2_4E0A8FDE6746_X0___-_X-14672-1;0125_3.26-1/L02B00B86T2GA_3-1;0125_3.26-1/L02B00B86T2GA_1-1;0125_3.26-1/L02B00B86T2GA_69-1;0125_3.26-1/L02B00B86T2GA_66-1;0125_3.26-1/L02B00B86T2GA_67-1;0125_3.26-1/L02B00B86T2GA_61-1;0125_3.26-1/L02B00B86T2GA_62-1;0125_3.26-1/L02B00B86T2GA_16-1;0125_3.26-1/L02B00B86T2GA_20-1;0125_3.26-1/L02B00B86T2GA_18-1;0125_3.26-1/L02B00B86T2GA_15-1;0125_3.26-1/L02B00B86T2GA_19-1;0125_3.26-1/L02B00B86T2GA_17-1;0125_3.26-1/L02B00B86T2GA_12-1;0125_3.26-1/L02B00B86T2GA_9-1;0125_3.26-1/L02B00B86T2GA_7-1;0125_3.26-1/L02B00B86T2GA_10-1;0125_3.26-1/L02B00B86T2GA_8-1;0125_3.26-1/L02B00B86T2GA_6-1;0125_3.26-1/L02B00B86T2GA_5-1;0125_3.26-1/L02B00B86T2GA_4-1;0125_3.26-1/L02B00B86T2GA_13-1;0125_3.26-1/L02B00B86T2GA_14-1;0125_3.26-1/MID-360-ASM_ASM-2/MID-360_4_ASM_2_ASM-1/MID-360_4_1_1-1,f1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chest_Link,0.00149193873993381,-0.294387390191823,-0.00417348457829125,0,0,0,2.2662273456296,0.0138951713257157,-0.000490107955170675,-9.08962171169575E-06,0.00982856795895957,1.20109906328982E-05,0.0073688098083695,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/chest_Link.STL,1,1,1,1,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/chest_Link.STL,,0125_3.26-1/L02B00B86T2GA_49-1;0125_3.26-1/L02B00B86T2GA_52-1;0125_3.26-1/00-1;0125_3.26-1/L02B00B86T2GA_50-1;0125_3.26-1/L02B00B86T2GA_58-1;0125_3.26-1/L02B00B86T2GA_55-1;0125_3.26-1/L02B00B86T2GA_54-1;0125_3.26-1/L02B00B86T2GA_51-1;0125_3.26-1/L02B00B86T2GA_34-1;0125_3.26-1/L02B00B86T2GA_33-1;0125_3.26-1/L02B00B86T2GA_77-1;0125_3.26-1/L02B00B86T2GA_42-1;0125_3.26-1/L02B00B86T2GA_41-1;0125_3.26-1/L02B00B86T2GA_38-1;0125_3.26-1/L02B00B86T2GA_37-1;0125_3.26-1/L02B00B86T2GA_40-1;0125_3.26-1/L02B00B86T2GA_39-1;0125_3.26-1/00-2-1;0125_3.26-1/00-0-1;0125_3.26-1/L02B00B86T2GA_63-1;0125_3.26-1/00-1-1;0125_3.26-1/L02B00B86T2GA_64-1;0125_3.26-1/HEAD_RGBD_QIAN-1;0125_3.26-1/HEAD_RGBD-1;0125_3.26-1/SUPPORT_HEAD-1;0125_3.26-1/CONNECT_WAIST-1;0125_3.26-1/CONNECTOR2V2-1;0125_3.26-1/CONNECT_WAIST_3_10-1;0125_3.26-1/CONNECTOR_BODY_ARM_ASM_2_ASM_1_ASM-1;0125_3.26-1/L02B00B86T2GA_24-1;0125_3.26-1/L02B00B86T2GA_23-1;0125_3.26-1/L02B00B86T2GA_22-1;0125_3.26-1/L02B00B86T2GA_21-1;0125_3.26-1/L02B00B86T2GA_25-1;0125_3.26-1/L02B00B86T2GA_11-1;0125_3.26-1/L02B00B86T2GA_65-1;0125_3.26-1/L02B00B86T2GA_35-1;0125_3.26-1/L02B00B86T2GA_36-1;0125_3.26-1/L02B00B86T2GA_32-1;0125_3.26-1/L02B00B86T2GA_31-1,f2,z2,chest,revolute,0,0,0.95262,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
arm_base_Link,0.00444954329169368,-3.10779933987426E-06,-0.0338997070962441,0,0,0,0.80236080316813,0.00488904922061132,-1.09765789735555E-08,-7.10485963436517E-05,0.00356655259965844,1.60773352839682E-07,0.0023891856919697,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/arm_base_Link.STL,1,1,1,1,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/arm_base_Link.STL,,0125_3.26-1/CONNECT_WAIST_3_10-1;0125_3.26-1/CONNECT_WAIST-1,f3,,arm_base,fixed,0,-0.30075,0,1.5708,0,0,chest_Link,0,0,0,,,,,,,,,,,,
camera_Link_1,-0.0175192399195924,-0.000917284514812988,-0.00104712300988163,0,0,0,0.0922509371852802,9.55941492659132E-05,7.46939831716412E-08,-7.0662808977804E-07,1.40619145874117E-05,9.81663234120433E-09,9.92322825735521E-05,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/camera_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://huawei-urdf-v2/meshes/camera_Link_1.STL,,0125_3.26-1/HEAD_RGBD_QIAN-1,f6,Axis_camera_1,camera_1,fixed,0.0966142964787806,-0.206407950186992,0,1.57079632679434,0,0.50614624644291,chest_Link,0,0,0,,,,,,,,,,,,
